Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,team,id
2023-08-12,15:00:00,Premier League,Matchweek 1,Sat,Home,D,1,1,West Ham,1.3,1.1,62,11245,Neto,4-2-3-1,4-2-3-1,Peter Bankes,/en/matches/d6bbf293/Bournemouth-West-Ham-United-August-12-2023-Premier-League,,23-24,Bournemouth,4ba7cbea
2023-08-19,15:00:00,Premier League,Matchweek 2,Sat,Away,L,1,3,Liverpool,1.3,3.0,36,53145,Neto,4-2-3-1,4-3-3,Thomas Bramall,/en/matches/80bebdbb/Liverpool-Bournemouth-August-19-2023-Premier-League,,23-24,Bournemouth,4ba7cbea
2023-08-26,12:30:00,Premier League,Matchweek 3,Sat,Home,L,0,2,Tottenham,0.7,2.1,44,10567,Neto,4-2-3-1,4-2-3-1,Tim Robinson,/en/matches/f49c4ad2/Bournemouth-Tottenham-Hotspur-August-26-2023-Premier-League,,23-24,Bournemouth,4ba7cbea
2023-08-29,19:30:00,EFL Cup,Second round,Tue,Away,W,3,2,Swansea City,,,57,8785,David Brooks,4-2-3-1,5-3-2,Matt Donohue,/en/matches/ad941675/Swansea-City-Bournemouth-August-29-2023-EFL-Cup,,23-24,Bournemouth,4ba7cbea
2023-09-02,15:00:00,Premier League,Matchweek 4,Sat,Away,D,2,2,Brentford,2.1,2.9,40,16973,Neto,4-2-3-1,4-3-3,Robert Madley,/en/matches/e2946b10/Brentford-Bournemouth-September-2-2023-Premier-League,,23-24,Bournemouth,4ba7cbea
2023-09-17,14:00:00,Premier League,Matchweek 5,Sun,Home,D,0,0,Chelsea,1.0,1.8,36,10421,Neto,4-2-3-1,4-2-3-1,David Coote,/en/matches/be0cbf88/Bournemouth-Chelsea-September-17-2023-Premier-League,,23-24,Bournemouth,4ba7cbea
2023-09-24,14:00:00,Premier League,Matchweek 6,Sun,Away,L,1,3,Brighton,1.1,1.9,39,31617,Neto,4-2-3-1,4-2-3-1,John Brooks,/en/matches/5593f16c/Brighton-and-Hove-Albion-Bournemouth-September-24-2023-Premier-League,,23-24,Bournemouth,4ba7cbea
2023-09-27,19:45:00,EFL Cup,Third round,Wed,Home,W,2,0,Stoke City,,,54,10282,Adam Smith,4-2-3-1,4-2-3-1,Graham Scott,/en/matches/22f62b32/Bournemouth-Stoke-City-September-27-2023-EFL-Cup,,23-24,Bournemouth,4ba7cbea
2023-09-30,15:00:00,Premier League,Matchweek 7,Sat,Home,L,0,4,Arsenal,0.6,3.4,43,11193,Neto,4-2-3-1,4-3-3,Michael Salisbury,/en/matches/8de4aca0/Bournemouth-Arsenal-September-30-2023-Premier-League,,23-24,Bournemouth,4ba7cbea
2023-10-07,15:00:00,Premier League,Matchweek 8,Sat,Away,L,0,3,Everton,0.7,2.4,52,38815,Neto,4-2-3-1,4-4-1-1,David Coote,/en/matches/497b9558/Everton-Bournemouth-October-7-2023-Premier-League,,23-24,Bournemouth,4ba7cbea
2023-10-21,15:00:00,Premier League,Matchweek 9,Sat,Home,L,1,2,Wolves,0.6,2.4,35,11175,Neto,4-2-3-1,3-4-3,Paul Tierney,/en/matches/007b352e/Bournemouth-Wolverhampton-Wanderers-October-21-2023-Premier-League,,23-24,Bournemouth,4ba7cbea
2023-10-28,15:00:00,Premier League,Matchweek 10,Sat,Home,W,2,1,Burnley,1.1,0.8,45,11152,Lloyd Kelly,4-2-3-1,4-3-3,Samuel Barrott,/en/matches/c4c42d3e/Bournemouth-Burnley-October-28-2023-Premier-League,,23-24,Bournemouth,4ba7cbea
2023-11-01,19:45:00,EFL Cup,Fourth round,Wed,Home,L,1,2,Liverpool,,,33,11116,Adam Smith,4-2-3-1,4-3-3,John Brooks,/en/matches/fcc1e67b/Bournemouth-Liverpool-November-1-2023-EFL-Cup,,23-24,Bournemouth,4ba7cbea
2023-11-04,15:00:00,Premier League,Matchweek 11,Sat,Away,L,1,6,Manchester City,0.9,1.9,35,53358,Lloyd Kelly,5-4-1,3-4-3,Craig Pawson,/en/matches/e75a870b/Manchester-City-Bournemouth-November-4-2023-Premier-League,,23-24,Bournemouth,4ba7cbea
2023-11-11,17:30:00,Premier League,Matchweek 12,Sat,Home,W,2,0,Newcastle Utd,2.4,0.5,48,11201,Neto,4-2-3-1,4-3-3,Chris Kavanagh,/en/matches/641024cf/Bournemouth-Newcastle-United-November-11-2023-Premier-League,,23-24,Bournemouth,4ba7cbea
2023-11-25,15:00:00,Premier League,Matchweek 13,Sat,Away,W,3,1,Sheffield Utd,2.9,0.8,54,30208,Neto,4-2-3-1,3-4-3,Andy Madley,/en/matches/799a2c04/Sheffield-United-Bournemouth-November-25-2023-Premier-League,,23-24,Bournemouth,4ba7cbea
