Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,team,id
2023-08-12,15:00:00,Premier League,Matchweek 1,Sat,Home,L,0,1,Crystal Palace,0.5,1.9,32,31194,John Egan,3-4-3,4-2-3-1,John Brooks,/en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League,,23-24,Sheffield Utd,1df6b87e
2023-08-18,19:45:00,Premier League,Matchweek 2,Fri,Away,L,1,2,Nott'ham Forest,0.5,1.4,50,29432,John Egan,3-4-3,3-4-3,Peter Bankes,/en/matches/a0a93f71/Nottingham-Forest-Sheffield-United-August-18-2023-Premier-League,,23-24,Sheffield Utd,1df6b87e
2023-08-27,14:00:00,Premier League,Matchweek 3,Sun,Home,L,1,2,Manchester City,0.7,3.5,21,31336,John Egan,3-5-2,4-2-3-1,Jarred Gillett,/en/matches/0844ff10/Sheffield-United-Manchester-City-August-27-2023-Premier-League,,23-24,Sheffield Utd,1df6b87e
2023-08-30,19:45:00,EFL Cup,Second round,Wed,Home,D,0 (2),0 (3),Lincoln City,,,72,11040,John Egan,3-5-2,3-4-3,Paul Tierney,/en/matches/c6129149/Sheffield-United-Lincoln-City-August-30-2023-EFL-Cup,Lincoln City won on penalty kicks following normal time,23-24,Sheffield Utd,1df6b87e
2023-09-02,12:30:00,Premier League,Matchweek 4,Sat,Home,D,2,2,Everton,1.2,2.5,46,31124,John Egan,3-5-2,4-4-1-1,Andy Madley,/en/matches/87b46bb9/Sheffield-United-Everton-September-2-2023-Premier-League,,23-24,Sheffield Utd,1df6b87e
2023-09-16,15:00:00,Premier League,Matchweek 5,Sat,Away,L,1,2,Tottenham,0.7,2.1,30,61706,Chris Basham,3-5-2,4-2-3-1,Peter Bankes,/en/matches/e56e96e1/Tottenham-Hotspur-Sheffield-United-September-16-2023-Premier-League,,23-24,Sheffield Utd,1df6b87e
2023-09-24,16:30:00,Premier League,Matchweek 6,Sun,Home,L,0,8,Newcastle Utd,0.9,3.9,42,31127,John Egan,3-4-3,4-3-3,Stuart Attwell,/en/matches/cf4fef85/Sheffield-United-Newcastle-United-September-24-2023-Premier-League,,23-24,Sheffield Utd,1df6b87e
2023-09-30,15:00:00,Premier League,Matchweek 7,Sat,Away,L,0,2,West Ham,1.1,2.1,48,62459,John Egan,3-5-2,4-2-3-1,Graham Scott,/en/matches/b82be6d7/West-Ham-United-Sheffield-United-September-30-2023-Premier-League,,23-24,Sheffield Utd,1df6b87e
2023-10-07,15:00:00,Premier League,Matchweek 8,Sat,Away,L,1,3,Fulham,0.6,2.2,40,24361,Chris Basham,3-5-2,4-3-3,Samuel Barrott,/en/matches/ffc59ea8/Fulham-Sheffield-United-October-7-2023-Premier-League,,23-24,Sheffield Utd,1df6b87e
2023-10-21,20:00:00,Premier League,Matchweek 9,Sat,Home,L,1,2,Manchester Utd,1.4,1.1,38,31543,Oliver Norwood,4-4-2,4-2-3-1,Michael Oliver,/en/matches/d95b42eb/Sheffield-United-Manchester-United-October-21-2023-Premier-League,,23-24,Sheffield Utd,1df6b87e
2023-10-28,15:00:00,Premier League,Matchweek 10,Sat,Away,L,0,5,Arsenal,0.0,2.8,33,60153,Oliver Norwood,4-4-2,4-3-3,Tim Robinson,/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,,23-24,Sheffield Utd,1df6b87e
2023-11-04,15:00:00,Premier League,Matchweek 11,Sat,Home,W,2,1,Wolves,1.0,1.2,39,29454,Oliver Norwood,3-4-1-2,4-4-1-1,Robert Jones,/en/matches/e841bbac/Sheffield-United-Wolverhampton-Wanderers-November-4-2023-Premier-League,,23-24,Sheffield Utd,1df6b87e
2023-11-12,14:00:00,Premier League,Matchweek 12,Sun,Away,D,1,1,Brighton,1.1,1.5,39,31367,Oliver Norwood,3-4-3,4-2-3-1,John Brooks,/en/matches/ebf41e41/Brighton-and-Hove-Albion-Sheffield-United-November-12-2023-Premier-League,,23-24,Sheffield Utd,1df6b87e
2023-11-25,15:00:00,Premier League,Matchweek 13,Sat,Home,L,1,3,Bournemouth,0.8,2.9,46,30208,Oliver Norwood,3-4-3,4-2-3-1,Andy Madley,/en/matches/799a2c04/Sheffield-United-Bournemouth-November-25-2023-Premier-League,,23-24,Sheffield Utd,1df6b87e
2023-12-02,15:00:00,Premier League,Matchweek 14,Sat,Away,L,0,5,Burnley,0.4,1.8,37,21478,Oliver Norwood,3-4-3,4-4-2,Chris Kavanagh,/en/matches/e2c53b0a/Burnley-Sheffield-United-December-2-2023-Premier-League,,23-24,Sheffield Utd,1df6b87e
2023-12-06,19:30:00,Premier League,Matchweek 15,Wed,Home,L,0,2,Liverpool,1.0,1.7,25,31406,Anel Ahmedhodžić,3-4-3,4-3-3,Simon Hooper,/en/matches/01aca132/Sheffield-United-Liverpool-December-6-2023-Premier-League,,23-24,Sheffield Utd,1df6b87e
2023-12-09,15:00:00,Premier League,Matchweek 16,Sat,Home,W,1,0,Brentford,0.8,0.6,41,28509,Anel Ahmedhodžić,4-1-4-1,4-3-3,Stuart Attwell,/en/matches/e268f518/Sheffield-United-Brentford-December-9-2023-Premier-League,,23-24,Sheffield Utd,1df6b87e
2023-12-16,15:00:00,Premier League,Matchweek 17,Sat,Away,L,0,2,Chelsea,0.4,3.1,22,39599,Anel Ahmedhodžić,4-1-4-1,4-2-3-1,Andy Madley,/en/matches/3bbbaf15/Chelsea-Sheffield-United-December-16-2023-Premier-League,,23-24,Sheffield Utd,1df6b87e
