id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,league,season
0a721e85,29,Mikael Anderson,ISL,"MF,FW",Midtjylland,22,1998,1.9,82,2,18,45,21,2,82,4,3,75.0,1,25.0,35,263,153,3,1,0,3,0,38,5,Matches,UCL,20-21
b5f66351,30,Joel Andersson,SWE,DF,Midtjylland,23,1996,4.4,243,13,74,108,62,2,243,2,1,50.0,1,50.0,107,478,233,6,6,0,6,3,137,9,Matches,UCL,20-21
4e3f5992,31,Oleksandr Andriyevskyi,UKR,MF,Dynamo Kyiv,26,1994,1.4,91,6,42,45,5,0,91,0,0,,0,,57,347,141,0,1,0,0,0,67,1,Matches,UCL,20-21
30941e96,32,Angeliño,ESP,"DF,FW",RB Leipzig,23,1997,7.0,477,12,117,186,177,23,477,5,0,0.0,5,100.0,235,861,377,9,10,3,8,4,287,62,Matches,UCL,20-21
b105919e,33,Faustino Anjorin,ENG,FW,Chelsea,18,2001,0.9,56,0,2,18,36,3,56,1,1,100.0,0,0.0,41,305,222,7,8,1,3,2,47,6,Matches,UCL,20-21
108fe016,34,Marcos Antônio,BRA,MF,Shakhtar,20,2000,2.7,180,3,58,100,25,0,180,6,5,83.3,1,16.7,117,643,261,7,2,0,3,8,153,3,Matches,UCL,20-21
99127249,35,Antony,BRA,FW,Ajax,20,2000,4.0,214,4,33,96,88,10,214,8,5,62.5,3,37.5,151,978,542,20,11,4,7,3,153,32,Matches,UCL,20-21
c63f6e46,36,Youssef El-Arabi,MAR,FW,Olympiacos,33,1987,4.7,128,5,8,76,47,11,128,5,2,40.0,3,60.0,72,269,109,3,4,1,19,9,100,15,Matches,UCL,20-21
2bef2bca,37,Ronald Araújo,URU,DF,Barcelona,21,1999,1.6,103,14,67,36,0,0,103,0,0,,0,,66,167,52,0,0,0,0,0,75,0,Matches,UCL,20-21
30643ce2,38,Ari,RUS,FW,Krasnodar,34,1985,0.3,19,0,1,9,10,5,19,1,1,100.0,0,0.0,12,58,27,1,1,0,2,0,16,5,Matches,UCL,20-21
1394bf42,39,Bright Arrey-Mbi,GER,DF,Bayern Munich,17,2003,0.7,26,0,2,12,12,0,26,1,0,0.0,1,100.0,15,83,60,0,1,0,0,1,20,3,Matches,UCL,20-21
1e465e70,40,Sergio Arribas,ESP,FW,Real Madrid,18,2001,0.4,25,0,5,10,10,0,25,0,0,,0,,16,65,34,0,0,0,0,2,23,3,Matches,UCL,20-21
28d596a0,41,Kepa Arrizabalaga,ESP,GK,Chelsea,25,1994,1.0,26,23,26,0,0,0,26,0,0,,0,,14,44,28,0,0,0,0,0,16,0,Matches,UCL,20-21
45af8a54,42,Marco Asensio,ESP,FW,Real Madrid,24,1996,6.9,386,4,34,161,198,27,386,19,13,68.4,6,31.6,264,1788,914,23,22,5,11,5,301,58,Matches,UCL,20-21
552e00b9,43,Majeed Ashimeru,GHA,MF,RB Salzburg,22,1997,0.5,47,0,7,31,10,0,47,1,1,100.0,0,0.0,23,88,26,0,2,0,1,0,39,1,Matches,UCL,20-21
10549b49,44,Sardar Azmoun,IRN,FW,Zenit,25,1995,3.2,104,5,8,37,61,18,104,5,3,60.0,2,40.0,51,282,141,6,2,2,7,3,72,21,Matches,UCL,20-21
53cad200,45,César Azpilicueta,ESP,DF,Chelsea,30,1989,10.7,860,58,280,416,166,10,860,4,3,75.0,1,25.0,434,1433,750,9,13,1,8,1,560,30,Matches,UCL,20-21
8b683d09,46,Demba Ba,SEN,FW,Başakşehir,35,1985,3.6,130,5,9,73,48,9,130,3,1,33.3,2,66.7,82,324,159,5,5,0,6,6,96,17,Matches,UCL,20-21
60c07b31,47,Ousseynou Ba,SEN,DF,Olympiacos,24,1995,2.1,133,20,86,47,0,0,133,0,0,,0,,79,356,139,0,0,0,1,1,92,0,Matches,UCL,20-21
6a2b9aee,48,Youssouph Badji,SEN,FW,Club Brugge,18,2001,0.4,10,1,1,4,5,0,10,0,0,,0,,4,6,1,0,0,0,1,0,9,3,Matches,UCL,20-21
a8567629,49,Mitchel Bakker,NED,DF,Paris S-G,20,2000,4.6,251,19,96,108,49,4,251,11,2,18.2,9,81.8,123,511,182,3,1,0,6,5,134,22,Matches,UCL,20-21
7c3ed041,50,Leonardo Balerdi,ARG,DF,Marseille,21,1999,2.8,200,36,141,56,3,1,200,1,1,100.0,0,0.0,128,518,148,0,0,0,3,1,151,1,Matches,UCL,20-21
ed33f42d,51,Tudor Băluță,ROU,MF,Dynamo Kyiv,21,1999,0.1,7,0,4,3,0,0,7,0,0,,0,,3,8,0,0,0,0,0,0,2,0,Matches,UCL,20-21
6928979a,52,Nicolò Barella,ITA,MF,Inter,23,1997,5.9,384,5,56,217,113,12,384,6,2,33.3,4,66.7,225,988,498,10,11,1,11,5,284,32,Matches,UCL,20-21
a4e16ab4,53,Romário Baró,POR,MF,Porto,20,2000,0.7,35,2,9,24,3,1,35,1,1,100.0,0,0.0,20,88,35,1,0,0,1,2,22,1,Matches,UCL,20-21
8e7f49d3,54,Wílmar Barrios,COL,MF,Zenit,26,1993,5.5,359,18,133,201,29,0,359,4,4,100.0,0,0.0,187,719,290,2,2,0,7,5,234,3,Matches,UCL,20-21
75b86fb3,55,Alessandro Bastoni,ITA,DF,Inter,21,1999,4.6,368,23,121,223,27,4,368,3,1,33.3,2,66.7,250,1315,911,16,2,0,2,0,295,11,Matches,UCL,20-21
c432ba7d,56,Roko Baturina,CRO,FW,Ferencváros,20,2000,0.4,17,0,0,10,8,2,17,3,2,66.7,1,33.3,11,50,30,1,1,1,1,0,17,2,Matches,UCL,20-21
50dc94ce,57,Donny van de Beek,NED,"MF,FW",Manchester Utd,23,1997,3.1,210,3,24,131,56,8,210,6,6,100.0,0,0.0,96,387,214,4,4,0,2,5,159,6,Matches,UCL,20-21
57d88cf9,58,Jude Bellingham,ENG,MF,Dortmund,17,2003,7.6,459,14,88,244,131,12,459,16,9,56.3,7,43.8,256,1080,479,7,17,0,12,6,324,21,Matches,UCL,20-21
