Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
1,Fri,2023-08-11,21:00,Nice,1.2,1–1,1.3,Lille,29436,Stade de Nice,Benoît Bastien,/en/matches/ff59d311/Nice-Lille-August-11-2023-Ligue-1,,FRA-L1,23-24
1,Sat,2023-08-12,17:00,Marseille,1.0,2–1,0.8,Reims,63787,Orange Vélodrome,Eric Wattellier,/en/matches/fdbcc9e3/Marseille-Reims-August-12-2023-Ligue-1,,FRA-L1,23-24
1,Sat,2023-08-12,21:00,Paris S-G,1.2,0–0,0.1,Lorient,47000,Parc des Princes,Bastien Dechepy,/en/matches/2e85b460/Paris-Saint-Germain-Lorient-August-12-2023-Ligue-1,,FRA-L1,23-24
1,Sun,2023-08-13,13:00,Brest,2.5,3–2,0.7,Lens,15085,Stade Francis-Le Blé,Jérémie Pignard,/en/matches/6e29d5a3/Brest-Lens-August-13-2023-Ligue-1,,FRA-L1,23-24
1,Sun,2023-08-13,15:00,Nantes,1.1,1–2,1.1,Toulouse,30578,Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,/en/matches/1e12937d/Nantes-Toulouse-August-13-2023-Ligue-1,,FRA-L1,23-24
1,Sun,2023-08-13,15:00,Clermont Foot,1.8,2–4,2.5,Monaco,10453,Stade Gabriel Montpied,François Letexier,/en/matches/68752280/Clermont-Foot-Monaco-August-13-2023-Ligue-1,,FRA-L1,23-24
1,Sun,2023-08-13,15:00,Montpellier,1.6,2–2,1.0,Le Havre,15852,Stade de la Mosson,Clément Turpin,/en/matches/ca893ead/Montpellier-Le-Havre-August-13-2023-Ligue-1,,FRA-L1,23-24
1,Sun,2023-08-13,17:05,Rennes,4.0,5–1,0.4,Metz,26065,Roazhon Park,Jeremy Stinat,/en/matches/e0073aaf/Rennes-Metz-August-13-2023-Ligue-1,,FRA-L1,23-24
1,Sun,2023-08-13,20:45,Strasbourg,1.3,2–1,1.7,Lyon,25410,Stade de la Meinau,Jérôme Brisard,/en/matches/9f7c605e/Strasbourg-Lyon-August-13-2023-Ligue-1,,FRA-L1,23-24
2,Fri,2023-08-18,21:00,Metz,0.5,2–2,1.9,Marseille,26661,Stade Saint-Symphorien,Jérôme Brisard,/en/matches/02c81085/Metz-Marseille-August-18-2023-Ligue-1,,FRA-L1,23-24
2,Sat,2023-08-19,19:00,Lyon,0.4,1–4,2.9,Montpellier,42576,Groupama Stadium,Mathieu Vernice,/en/matches/39ad4054/Lyon-Montpellier-August-19-2023-Ligue-1,,FRA-L1,23-24
2,Sat,2023-08-19,21:00,Toulouse,1.2,1–1,2.1,Paris S-G,27332,Stadium Municipal,Thomas Léonard,/en/matches/fad8e14d/Toulouse-Paris-Saint-Germain-August-19-2023-Ligue-1,,FRA-L1,23-24
2,Sun,2023-08-20,13:00,Lille,2.2,2–0,1.1,Nantes,34356,Decathlon Arena - Stade Pierre-Mauroy,Pierre Gaillouste,/en/matches/31fe99c8/Lille-Nantes-August-20-2023-Ligue-1,,FRA-L1,23-24
2,Sun,2023-08-20,15:00,Reims,2.4,2–0,0.4,Clermont Foot,12887,Stade Auguste-Delaune,Romain Lissorgue,/en/matches/4b9f0040/Reims-Clermont-Foot-August-20-2023-Ligue-1,,FRA-L1,23-24
2,Sun,2023-08-20,15:00,Le Havre,1.2,1–2,1.1,Brest,19574,Stade Océane,Florent Batta,/en/matches/680c6c1d/Le-Havre-Brest-August-20-2023-Ligue-1,,FRA-L1,23-24
2,Sun,2023-08-20,15:00,Lorient,0.8,1–1,1.7,Nice,15848,Stade du Moustoir,Hakim Ben El Hadj Salem,/en/matches/f6d67175/Lorient-Nice-August-20-2023-Ligue-1,,FRA-L1,23-24
2,Sun,2023-08-20,19:00,Monaco,0.9,3–0,0.5,Strasbourg,10100,Stade Louis II,Ruddy Buquet,/en/matches/f06d0bce/Monaco-Strasbourg-August-20-2023-Ligue-1,,FRA-L1,23-24
2,Sun,2023-08-20,20:45,Lens,1.0,1–1,1.4,Rennes,37233,Stade Bollaert-Delelis,Benoît Millot,/en/matches/283d8d62/Lens-Rennes-August-20-2023-Ligue-1,,FRA-L1,23-24
3,Fri,2023-08-25,21:00,Nantes,1.0,3–3,3.3,Monaco,28429,Stade de la Beaujoire - Louis Fonteneau,Jérémie Pignard,/en/matches/ea724bc0/Nantes-Monaco-August-25-2023-Ligue-1,,FRA-L1,23-24
3,Sat,2023-08-26,19:00,Marseille,2.9,2–0,1.5,Brest,63592,Orange Vélodrome,Jeremy Stinat,/en/matches/b9c29ee4/Marseille-Brest-August-26-2023-Ligue-1,,FRA-L1,23-24
