id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,league,season
2fabebc0,22,Mikhail Kerzhakov,RUS,GK,Zenit,34,1987,1.0,3,0,0,0,0,1.6,0.55,-1.4,-1.36,2,5,40.0,22,5,18.2,24.3,8,12.5,16.3,9,1,11.1,3,3.0,26.8,Matches,UEL,21-22
4980c6be,23,Daniil Khudiakov,RUS,GK,Loko Moscow,17,2004,2.0,4,2,0,1,0,5.5,0.27,1.5,0.74,8,27,29.6,53,10,37.7,35.1,12,58.3,45.3,39,0,0.0,1,0.5,11.0,Matches,UEL,21-22
cd59b9df,24,Gregor Kobel,SUI,GK,Dortmund,23,1997,2.0,6,2,0,1,1,4.7,0.27,-0.3,-0.14,3,10,30.0,51,7,19.6,25.0,8,0.0,19.1,16,0,0.0,2,1.0,19.3,Matches,UEL,21-22
58f077c0,25,Dominik Livaković,CRO,GK,Dinamo Zagreb,26,1995,8.0,9,1,0,2,0,9.6,0.3,0.6,0.07,31,110,28.2,164,31,47.0,37.7,58,56.9,44.6,112,2,1.8,4,0.5,15.0,Matches,UEL,21-22
f00de885,26,Anthony Lopes,POR,GK,Lyon,30,1990,8.0,6,0,0,0,0,4.6,0.24,-1.4,-0.18,50,94,53.2,232,39,31.9,32.2,54,37.0,34.2,100,5,5.0,7,0.88,12.7,Matches,UEL,21-22
20b9f052,27,Pau López,ESP,GK,Marseille,26,1994,5.0,7,0,0,1,1,6.2,0.46,0.2,0.04,5,27,18.5,164,25,14.6,23.3,19,15.8,24.0,33,1,3.0,9,1.8,20.8,Matches,UEL,21-22
939bc634,28,Jonas Lössl,DEN,GK,Midtjylland,32,1989,3.0,2,0,0,0,0,1.9,0.27,-0.1,-0.04,25,53,47.2,70,13,40.0,37.4,33,75.8,51.2,26,1,3.8,5,1.67,23.1,Matches,UEL,21-22
8a6ab963,29,Andrey Lunyov,RUS,GK,Leverkusen,29,1991,1.0,1,0,0,1,0,0.7,0.66,-0.3,-0.34,5,8,62.5,24,2,25.0,31.5,10,20.0,26.2,9,0,0.0,1,1.0,19.5,Matches,UEL,21-22
20de219a,30,Radosław Majecki,POL,GK,Monaco,21,1999,1.0,1,1,0,0,0,2.2,0.29,1.2,1.16,8,26,30.8,42,9,45.2,38.8,9,77.8,54.1,11,2,18.2,1,1.0,14.2,Matches,UEL,21-22
6f4e1c93,31,Aleksandr Maksimenko,RUS,GK,Spartak Moscow,23,1998,3.0,7,0,0,0,0,6.1,0.51,-0.9,-0.29,12,35,34.3,64,8,35.9,36.2,24,50.0,39.1,36,0,0.0,9,3.0,21.3,Matches,UEL,21-22
1d2d5cc8,32,Steve Mandanda,FRA,GK,Marseille,36,1985,1.0,0,0,0,0,0,0.0,,0.0,0.0,5,12,41.7,55,4,20.0,27.2,4,25.0,29.8,10,1,10.0,0,0.0,7.5,Matches,UEL,21-22
a3b0ed18,33,Guilherme Marinato,RUS,GK,Loko Moscow,35,1985,4.0,5,1,0,1,0,6.7,0.35,1.7,0.43,16,30,53.3,109,20,17.4,27.2,35,31.4,30.2,63,2,3.2,6,1.5,15.8,Matches,UEL,21-22
ef3909cd,34,Matheus,BRA,GK,Braga,29,1992,11.7,12,5,0,3,0,15.1,0.3,3.1,0.28,64,174,36.8,383,67,37.3,34.6,84,36.9,33.6,160,13,8.1,33,3.0,17.0,Matches,UEL,21-22
f3a97d02,35,Allan McGregor,SCO,GK,Rangers,39,1982,14.7,15,1,0,4,2,14.7,0.26,1.7,0.12,82,232,35.3,389,48,43.4,36.0,118,53.4,42.0,196,3,1.5,14,1.0,16.4,Matches,UEL,21-22
