id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,league,season
f586779e,1,Tammy Abraham,ENG,FW,Roma,23,1997,34.3,94,2.74,62,1,6,17,7,1,14,0.41,6,0,2,3,3,0,Matches,ITA-SERIA_A,21-22
b96b595c,2,Francesco Acerbi,ITA,DF,Lazio,33,1988,28.2,17,0.61,13,1,0,1,2,0,2,0.07,1,0,0,0,1,0,Matches,ITA-SERIA_A,21-22
f9c927de,3,Michel Aebischer,SUI,MF,Bologna,24,1997,4.9,10,2.05,9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ITA-SERIA_A,21-22
0154d290,4,Felix Afena-Gyan,GHA,"FW,MF",Roma,18,2003,7.4,23,3.1,14,0,2,2,5,0,2,0.27,1,0,1,0,0,0,Matches,ITA-SERIA_A,21-22
46fa7204,5,Kevin Agudelo,COL,"MF,FW",Spezia,22,1998,13.7,39,2.84,21,0,6,4,4,4,3,0.22,1,0,0,0,0,2,Matches,ITA-SERIA_A,21-22
246d153b,6,Ola Aina,NGA,DF,Torino,24,1996,16.0,37,2.32,29,2,3,0,3,0,1,0.06,1,0,0,0,0,0,Matches,ITA-SERIA_A,21-22
414e1f69,7,Marley Aké,FRA,"FW,MF",Juventus,20,2001,0.9,1,1.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ITA-SERIA_A,21-22
fdf4b948,8,Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,28,1992,3.5,3,0.86,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,ITA-SERIA_A,21-22
5294a83f,9,Luis Alberto,ESP,MF,Lazio,28,1992,26.1,120,4.59,83,26,3,3,5,0,16,0.61,6,7,1,2,0,0,Matches,ITA-SERIA_A,21-22
