id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,league,season
8b3ab7ad,21,Edson Álvarez,MEX,MF,Ajax,21,1997,6,4,377,4.2,1,0,1,1,0,0,1,0,0.4,0.4,0.3,0.7,2,25,2,0.24,0.0,0.24,0.24,0.24,0.09,0.08,0.17,0.09,0.17,Matches,UCL,19-20
555d5edd,22,Nadiem Amiri,GER,"FW,MF",Leverkusen,22,1996,4,2,238,2.6,0,0,0,0,0,0,0,1,0.4,0.4,0.7,1.1,9,16,14,0.0,0.0,0.0,0.0,0.0,0.14,0.26,0.41,0.14,0.41,Matches,UCL,19-20
10b9fa99,23,Ethan Ampadu,WAL,DF,RB Leipzig,18,2000,3,2,181,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,UCL,19-20
e34fc66d,24,Joachim Andersen,DEN,DF,Lyon,23,1996,6,4,392,4.4,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,0,11,0,0.23,0.0,0.23,0.23,0.23,0.08,0.02,0.1,0.08,0.1,Matches,UCL,19-20
dc008610,25,Florin Andone,ROU,FW,Galatasaray,26,1993,3,2,162,1.8,0,0,0,0,0,0,0,0,0.9,0.9,0.0,0.9,5,1,8,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.48,0.48,Matches,UCL,19-20
ef9c1c95,26,Benjamin André,FRA,MF,Lille,28,1990,5,5,403,4.5,0,2,2,0,0,0,1,0,0.5,0.5,1.6,2.1,3,27,8,0.0,0.45,0.45,0.0,0.45,0.12,0.35,0.46,0.12,0.46,Matches,UCL,19-20
b35db3f6,27,Miguel Ángel Guerrero,ESP,FW,Olympiacos,29,1990,6,3,316,3.5,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,4,2,16,0.0,0.0,0.0,0.0,0.0,0.13,0.07,0.2,0.13,0.2,Matches,UCL,19-20
30941e96,28,Angeliño,ESP,"DF,MF",RB Leipzig,22,1997,4,4,360,4.0,0,2,2,0,0,0,0,0,0.1,0.1,0.5,0.6,9,18,37,0.0,0.5,0.5,0.0,0.5,0.04,0.12,0.15,0.04,0.15,Matches,UCL,19-20
30941e96,29,Angeliño,ESP,DF,Manchester City,22,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,2,5,2,0.0,0.0,0.0,0.0,0.0,0.03,0.13,0.16,0.03,0.16,Matches,UCL,19-20
108fe016,30,Marcos Antônio,BRA,MF,Shakhtar,19,2000,3,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,UCL,19-20
a5db0bec,31,Houssem Aouar,ALG,"MF,FW",Lyon,21,1998,8,8,711,7.9,1,4,5,1,0,0,1,0,0.5,0.5,2.3,2.9,33,38,35,0.13,0.51,0.63,0.13,0.63,0.06,0.3,0.36,0.06,0.36,Matches,UCL,19-20
c63f6e46,32,Youssef El-Arabi,MAR,FW,Olympiacos,32,1987,6,3,278,3.1,3,0,3,2,1,1,1,0,1.4,0.6,0.0,0.6,1,3,13,0.97,0.0,0.97,0.65,0.65,0.44,0.01,0.45,0.18,0.19,Matches,UCL,19-20
56413b1f,33,Charles Aránguiz,CHI,MF,Leverkusen,30,1989,5,5,413,4.6,0,1,1,0,0,0,2,0,0.8,0.8,0.3,1.1,4,42,7,0.0,0.22,0.22,0.0,0.22,0.18,0.07,0.25,0.18,0.25,Matches,UCL,19-20
fa18c72e,34,Luiz Araújo,BRA,"FW,MF",Lille,23,1996,6,3,277,3.1,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.5,7,7,7,0.0,0.0,0.0,0.0,0.0,0.14,0.01,0.15,0.14,0.15,Matches,UCL,19-20
2f965a72,35,Alphonse Areola,FRA,GK,Real Madrid,26,1993,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,UCL,19-20
fdd60087,36,Santiago Arias,COL,DF,Atlético Madrid,27,1992,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,16,25,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.11,0.01,0.11,Matches,UCL,19-20
28d596a0,37,Kepa Arrizabalaga,ESP,GK,Chelsea,24,1994,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,UCL,19-20
089550f5,38,Kwadwo Asamoah,GHA,"FW,DF",Inter,30,1988,3,3,259,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,UCL,19-20
45af8a54,39,Marco Asensio,ESP,FW,Real Madrid,23,1996,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches,UCL,19-20
552e00b9,40,Majeed Ashimeru,GHA,MF,RB Salzburg,21,1997,4,0,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,UCL,19-20
8f5bfaac,41,Iyayi Atiemwen,NGA,FW,Dinamo Zagreb,23,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,UCL,19-20
5c2b4f07,42,Serge Aurier,CIV,DF,Tottenham,26,1992,5,5,449,5.0,1,2,3,1,0,0,0,0,0.1,0.1,1.3,1.3,13,14,34,0.2,0.4,0.6,0.2,0.6,0.01,0.25,0.27,0.01,0.27,Matches,UCL,19-20
10549b49,43,Sardar Azmoun,IRN,FW,Zenit,24,1995,6,6,462,5.1,2,0,2,2,0,0,1,0,3.1,3.1,0.1,3.2,11,4,26,0.39,0.0,0.39,0.39,0.39,0.6,0.01,0.61,0.6,0.61,Matches,UCL,19-20
53cad200,44,César Azpilicueta,ESP,DF,Chelsea,29,1989,7,7,612,6.8,2,0,2,2,0,0,2,0,1.5,1.5,1.0,2.5,17,34,48,0.29,0.0,0.29,0.29,0.29,0.22,0.15,0.36,0.22,0.36,Matches,UCL,19-20
6438d426,45,Ryan Babel,NED,FW,Galatasaray,32,1986,4,4,333,3.7,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,7,8,18,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.21,0.1,0.21,Matches,UCL,19-20
3a233281,46,Leon Bailey,JAM,"FW,MF",Leverkusen,21,1997,3,2,115,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,5,3,14,0.0,0.0,0.0,0.0,0.0,0.04,0.17,0.21,0.04,0.21,Matches,UCL,19-20
a58bb1e1,47,Gareth Bale,WAL,"FW,MF",Real Madrid,30,1989,3,1,116,1.3,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,3,2,15,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23,Matches,UCL,19-20
7c3ed041,48,Leonardo Balerdi,ARG,MF,Dortmund,20,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,UCL,19-20
b2bd0f6c,49,Jonathan Bamba,CIV,"FW,MF",Lille,23,1996,6,3,282,3.1,0,2,2,0,0,0,0,0,1.0,1.0,1.4,2.4,9,10,29,0.0,0.64,0.64,0.0,0.64,0.32,0.45,0.77,0.32,0.77,Matches,UCL,19-20
6928979a,50,Nicolò Barella,ITA,MF,Inter,22,1997,4,3,290,3.2,1,0,1,1,0,0,2,0,0.2,0.2,0.1,0.4,3,13,12,0.31,0.0,0.31,0.31,0.31,0.08,0.04,0.11,0.08,0.11,Matches,UCL,19-20
d7c09951,51,Dmitri Barinov,RUS,MF,Loko Moscow,22,1996,5,5,450,5.0,1,0,1,1,0,0,3,0,0.3,0.3,0.1,0.4,1,6,7,0.2,0.0,0.2,0.2,0.2,0.06,0.02,0.08,0.06,0.08,Matches,UCL,19-20
3a24769f,52,Ross Barkley,ENG,"FW,MF",Chelsea,25,1993,3,2,161,1.8,0,0,0,0,0,1,0,0,0.9,0.1,0.1,0.2,5,7,8,0.0,0.0,0.0,0.0,0.0,0.5,0.04,0.54,0.08,0.12,Matches,UCL,19-20
8e7f49d3,53,Wílmar Barrios,COL,MF,Zenit,25,1993,6,6,540,6.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,3,15,4,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,UCL,19-20
e5bf73f3,54,Musa Barrow,GAM,MF,Atalanta,20,1998,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,UCL,19-20
