id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,league,season
7310786d,1,Keyliane Abdallah,FRA,FW,Marseille,18-147,2006,0.0,2,2,100.0,41,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,FRA-L1,24-25
32c2d95f,2,Yunis Abdelhamid,MAR,DF,Saint-Étienne,36-337,1987,2.0,93,106,87.7,1642,548,33,35,94.3,56,61,91.8,4,10,40.0,0,0.0,0.0,0.0,0,7,0,0,7,Matches,FRA-L1,24-25
7978cbf0,3,Himad Abdelli,ALG,"FW,MF",Angers,24-287,1999,2.0,88,117,75.2,1166,313,52,62,83.9,26,32,81.3,3,14,21.4,0,0.4,0.1,-0.4,2,7,1,0,7,Matches,FRA-L1,24-25
0e46fa2f,4,Matthis Abline,FRA,FW,Nantes,21-155,2003,1.8,20,30,66.7,308,62,11,13,84.6,8,12,66.7,1,2,50.0,0,0.1,0.1,-0.1,2,1,2,0,6,Matches,FRA-L1,24-25
7f9c5d2d,5,Abner,BRA,DF,Lyon,24-095,2000,1.7,87,107,81.3,1182,581,57,62,91.9,23,28,82.1,6,12,50.0,0,0.0,0.3,0.0,1,6,1,0,9,Matches,FRA-L1,24-25
c2a6033c,6,Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,24-194,2000,2.0,30,41,73.2,376,92,19,23,82.6,9,11,81.8,0,3,0.0,0,0.0,0.1,0.0,0,2,1,0,3,Matches,FRA-L1,24-25
2ccd39ed,7,Akor Adams,NGA,FW,Montpellier,24-214,2000,1.1,7,15,46.7,64,16,4,7,57.1,1,5,20.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,FRA-L1,24-25
7587446d,8,Martin Adeline,FRA,MF,Reims,20-272,2003,0.3,8,10,80.0,138,11,3,3,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches,FRA-L1,24-25
75f1ed80,9,Emmanuel Agbadou,CIV,DF,Reims,27-074,1997,2.0,89,108,82.4,1779,859,36,40,90.0,43,45,95.6,10,22,45.5,0,0.0,0.0,0.0,0,7,0,0,10,Matches,FRA-L1,24-25
3dd738a1,10,Ruben Aguilar,FRA,DF,Lens,31-126,1993,2.0,109,135,80.7,1507,526,67,75,89.3,30,39,76.9,6,8,75.0,1,0.7,0.5,0.3,2,7,3,0,9,Matches,FRA-L1,24-25
48b28bfd,11,Jean-Eudes Aholou,CIV,MF,Angers,30-163,1994,1.0,20,24,83.3,277,77,12,13,92.3,6,6,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,3,Matches,FRA-L1,24-25
8399c416,12,Ayman Aiki,FRA,MF,Saint-Étienne,19-066,2005,0.3,5,8,62.5,67,29,3,5,60.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,2,Matches,FRA-L1,24-25
462475ed,13,Ludovic Ajorque,FRA,FW,Brest,30-187,1994,1.6,31,44,70.5,399,6,17,24,70.8,12,13,92.3,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches,FRA-L1,24-25
06efa9dc,14,Sergio Akieme,ESP,DF,Reims,26-258,1997,2.0,42,60,70.0,602,143,24,27,88.9,16,20,80.0,1,11,9.1,0,0.0,0.0,0.0,0,2,0,0,4,Matches,FRA-L1,24-25
b625b241,15,Maghnes Akliouche,FRA,FW,Monaco,22-187,2002,1.2,50,61,82.0,652,254,32,34,94.1,11,17,64.7,2,3,66.7,1,0.5,0.8,0.5,4,3,2,0,6,Matches,FRA-L1,24-25
0abb5072,16,Clément Akpa,CIV,DF,Auxerre,22-280,2001,0.6,24,33,72.7,481,186,4,8,50.0,18,21,85.7,2,4,50.0,0,0.0,0.0,0.0,0,1,0,0,3,Matches,FRA-L1,24-25
f8405304,17,Mohamed Ali Cho,FRA,FW,Nice,20-224,2004,1.6,23,33,69.7,303,94,16,19,84.2,3,8,37.5,2,2,100.0,0,0.4,0.4,-0.4,2,0,2,0,3,Matches,FRA-L1,24-25
22721b88,18,Jordan Amavi,FRA,DF,Brest,30-174,1994,1.9,74,103,71.8,1077,312,45,53,84.9,27,39,69.2,1,6,16.7,0,0.0,0.0,0.0,1,5,0,0,4,Matches,FRA-L1,24-25
bcc81786,19,Kelvin Amian,FRA,DF,Nantes,26-204,1998,2.0,76,88,86.4,1258,421,35,37,94.6,32,34,94.1,6,10,60.0,0,0.1,0.2,-0.1,2,7,2,0,8,Matches,FRA-L1,24-25
349cae8f,20,Michael Amir Murillo,PAN,DF,Marseille,28-201,1996,2.0,121,140,86.4,2070,485,41,44,93.2,73,83,88.0,6,7,85.7,0,0.0,0.0,0.0,0,8,0,0,7,Matches,FRA-L1,24-25
f93cca97,21,Mathis Amougou,FRA,MF,Saint-Étienne,18-225,2006,2.0,63,80,78.8,992,382,33,38,86.8,26,33,78.8,2,3,66.7,0,0.1,0.0,-0.1,2,3,0,0,12,Matches,FRA-L1,24-25
ef9c1c95,22,Benjamin André,FRA,MF,Lille,34-027,1990,1.0,66,81,81.5,1228,335,23,27,85.2,36,39,92.3,6,10,60.0,0,0.0,0.1,0.0,0,8,1,0,9,Matches,FRA-L1,24-25
feb5d3ab,23,Dennis Appiah,FRA,DF,Saint-Étienne,32-082,1992,0.5,20,29,69.0,329,103,10,13,76.9,9,13,69.2,1,1,100.0,0,0.0,0.0,0.0,0,3,0,0,4,Matches,FRA-L1,24-25
5e837126,24,Carlens Arcus,HAI,DF,Angers,28-063,1996,1.8,44,58,75.9,661,329,22,26,84.6,16,21,76.2,3,5,60.0,0,0.2,0.1,-0.2,3,4,3,2,4,Matches,FRA-L1,24-25
e2ae54db,25,Hákon Arnar Haraldsson,ISL,MF,Lille,21-142,2003,1.4,120,140,85.7,2218,393,56,65,86.2,45,47,95.7,17,24,70.8,1,0.2,0.2,0.8,3,20,4,0,18,Matches,FRA-L1,24-25
45af8a54,26,Marco Asensio,ESP,"MF,FW",Paris S-G,28-222,1996,1.5,78,90,86.7,1081,227,46,51,90.2,21,23,91.3,6,8,75.0,0,0.6,0.1,-0.6,5,6,1,0,8,Matches,FRA-L1,24-25
b026bbf6,27,Lorenz Assignon,TOG,DF,Rennes,24-069,2000,1.4,45,64,70.3,720,259,20,26,76.9,24,31,77.4,1,5,20.0,0,0.0,0.1,0.0,1,0,2,0,5,Matches,FRA-L1,24-25
6b5edd5d,28,Valentin Atangana Edoa,FRA,MF,Reims,19-005,2005,1.8,52,61,85.2,823,285,25,28,89.3,25,27,92.6,1,2,50.0,0,0.0,0.0,0.0,1,6,1,0,6,Matches,FRA-L1,24-25
718b8afd,29,Florian Ayé,FRA,FW,Auxerre,27-224,1997,0.4,7,11,63.6,80,15,4,4,100.0,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches,FRA-L1,24-25
c6f0d5d4,30,Shavy Babicka,GAB,MF,Toulouse,24-090,2000,0.3,5,5,100.0,60,21,3,3,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,1,1,0,0,1,Matches,FRA-L1,24-25
