id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,league,season
42ec696a,1,Igor Akinfeev,RUS,GK,CSKA Moscow,31,1986,6.0,10,1,0,0,0,13.0,0.33,3.0,0.5,29,106,27.4,125,14,63.2,46.4,40,67.5,53.2,97,3,3.1,3,0.5,11.9,Matches,UCL,17-18
7a2e46a8,2,Alisson,BRA,GK,Roma,24,1992,12.0,19,0,1,2,2,18.8,0.31,1.8,0.15,65,121,53.7,324,66,26.2,31.2,79,45.6,41.2,115,4,3.5,25,2.08,19.6,Matches,UCL,17-18
2f965a72,3,Alphonse Areola,FRA,GK,Paris S-G,24,1993,8.0,9,1,0,1,0,9.0,0.23,0.0,0.0,25,54,46.3,135,36,17.8,25.9,66,45.5,38.7,127,10,7.9,11,1.38,13.7,Matches,UCL,17-18
b7e7937d,4,Diego Benaglio,SUI,GK,Monaco,33,1983,3.0,9,0,0,0,0,6.0,0.42,-3.0,-0.99,8,27,29.6,51,11,37.3,34.7,18,44.4,38.8,30,1,3.3,4,1.33,19.4,Matches,UCL,17-18
0ef05b3e,5,Frank Boeckx,BEL,GK,Anderlecht,30,1986,3.0,8,0,0,1,0,6.5,0.35,-1.5,-0.52,17,43,39.5,71,11,45.1,37.3,19,57.9,44.9,24,0,0.0,4,1.33,17.9,Matches,UCL,17-18
10072610,6,Claudio Bravo,CHI,GK,Manchester City,34,1983,1.0,2,0,0,0,0,1.1,0.35,-0.9,-0.94,5,8,62.5,40,5,15.0,22.7,4,50.0,39.0,3,0,0.0,5,5.0,24.7,Matches,UCL,17-18
e40d028b,7,Gianluigi Buffon,ITA,GK,Juventus,39,1978,9.0,11,0,1,0,1,11.1,0.34,1.1,0.12,42,98,42.9,166,29,31.9,33.8,77,58.4,45.1,106,1,0.9,7,0.78,14.6,Matches,UCL,17-18
9d12e142,8,Roman Bürki,SUI,GK,Dortmund,26,1990,6.0,13,0,0,0,0,12.8,0.36,-0.2,-0.04,13,65,20.0,220,42,23.6,30.8,34,38.2,43.4,56,6,10.7,8,1.34,15.4,Matches,UCL,17-18
58bc7d18,9,Kiko Casilla,ESP,GK,Real Madrid,30,1986,2.0,3,0,0,0,0,3.1,0.34,0.1,0.03,7,17,41.2,45,13,28.9,29.8,10,40.0,39.9,21,2,9.5,1,0.5,11.1,Matches,UCL,17-18
