id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,league,season
c5942695,1,Rolando Aarons,ENG,"MF,FW",Hellas Verona,21,1995,5.7,166,3,18,71,80,7,166,15,8,53.3,7,46.7,105,712,352,9,11,2,9,13,125,31,Matches,ITA-SERIA_A,17-18
1c529186,2,Ignazio Abate,ITA,DF,Milan,30,1986,11.7,864,35,237,428,206,8,864,1,0,0.0,1,100.0,386,1802,1124,20,18,0,7,6,563,65,Matches,ITA-SERIA_A,17-18
b96b595c,3,Francesco Acerbi,ITA,DF,Sassuolo,29,1988,38.0,2124,299,1076,954,135,21,2124,23,17,73.9,6,26.1,918,5957,2979,35,38,0,26,9,1044,14,Matches,ITA-SERIA_A,17-18
d7403bd5,4,Afriyie Acquah,GHA,MF,Torino,25,1992,10.6,562,8,79,405,92,7,562,24,16,66.7,8,33.3,392,2545,1243,24,18,2,13,14,413,24,Matches,ITA-SERIA_A,17-18
ce5b170a,5,Claud Adjapong,ITA,"DF,FW",Sassuolo,19,1998,13.6,691,38,199,296,207,26,691,19,9,47.4,10,52.6,344,2339,1105,31,25,10,23,24,365,54,Matches,ITA-SERIA_A,17-18
06050480,6,Ali Adnan Kadhim,IRQ,"DF,FW",Udinese,23,1993,18.6,1142,94,343,539,269,6,1142,33,25,75.8,8,24.2,472,2327,1139,25,21,2,19,15,538,56,Matches,ITA-SERIA_A,17-18
f9714604,7,Arlind Ajeti,ALB,DF,Crotone,23,1993,14.1,553,108,330,212,18,9,553,6,5,83.3,1,16.7,236,1060,448,2,2,0,6,4,203,0,Matches,ITA-SERIA_A,17-18
5294a83f,8,Luis Alberto,ESP,"FW,MF",Lazio,24,1992,29.7,2136,7,128,1050,995,67,2134,86,59,68.6,27,31.4,1461,8283,4656,126,109,20,56,54,1567,179,Matches,ITA-SERIA_A,17-18
4bd414c1,9,Raúl Albiol,ESP,DF,Napoli,31,1985,30.5,2760,149,876,1839,55,28,2760,5,2,40.0,3,60.0,1838,9780,6268,27,10,0,6,3,2036,4,Matches,ITA-SERIA_A,17-18
7a2e46a8,10,Alisson,BRA,GK,Roma,24,1992,37.0,1405,1143,1395,11,0,0,1405,6,6,100.0,0,0.0,677,3374,2393,0,1,0,3,0,646,0,Matches,ITA-SERIA_A,17-18
cc700722,11,Allan,BRA,MF,Napoli,26,1991,31.7,2220,30,199,1385,667,41,2220,120,79,65.8,41,34.2,1468,7312,3815,83,98,18,49,72,1661,135,Matches,ITA-SERIA_A,17-18
92a5ac34,12,Ricky Álvarez,ARG,MF,Sampdoria,29,1988,3.0,221,3,22,97,103,5,221,10,3,30.0,7,70.0,114,711,309,7,13,1,6,7,161,30,Matches,ITA-SERIA_A,17-18
e34fc66d,13,Joachim Andersen,DEN,DF,Sampdoria,21,1996,6.1,492,73,269,216,11,4,492,0,0,,0,,250,1440,980,7,5,0,1,2,331,1,Matches,ITA-SERIA_A,17-18
9f1893b9,14,Felipe Anderson,BRA,"FW,MF",Lazio,24,1993,12.9,930,6,65,386,513,65,930,114,77,67.5,37,32.5,610,5362,2830,98,80,41,46,47,665,140,Matches,ITA-SERIA_A,17-18
326d09ef,15,Nícolas Andrade,BRA,GK,Hellas Verona,29,1988,36.0,1561,1396,1558,3,0,0,1561,0,0,,0,,624,3971,2690,0,0,0,2,0,516,0,Matches,ITA-SERIA_A,17-18
13d820de,16,Marco Andreolli,ITA,DF,Cagliari,31,1986,20.3,1088,161,617,448,25,14,1088,2,1,50.0,1,50.0,476,2471,1439,11,4,1,3,0,623,2,Matches,ITA-SERIA_A,17-18
0c971997,17,Gabriele Angella,ITA,DF,Udinese,28,1989,9.9,617,74,317,284,21,6,617,1,1,100.0,0,0.0,296,1101,489,2,4,0,4,0,335,7,Matches,ITA-SERIA_A,17-18
bbafc0c4,18,Cristian Ansaldi,ARG,DF,Torino,30,1986,20.8,1244,66,398,574,292,28,1244,64,47,73.4,17,26.6,732,5070,2541,78,46,9,40,23,722,88,Matches,ITA-SERIA_A,17-18
97c9bce3,19,Luca Antei,ITA,DF,Benevento,25,1992,6.6,448,40,233,214,7,1,448,5,3,60.0,2,40.0,236,1373,893,7,3,0,2,4,286,1,Matches,ITA-SERIA_A,17-18
43a2e16c,20,Mirco Antenucci,ITA,FW,SPAL,32,1984,28.6,909,10,63,370,486,104,904,52,30,57.7,22,42.3,658,4141,1262,46,27,13,96,42,748,214,Matches,ITA-SERIA_A,17-18
40f0ed6c,21,Luca Antonelli,ITA,"DF,FW",Milan,30,1987,1.6,110,7,31,60,20,3,110,2,1,50.0,1,50.0,55,213,124,2,1,0,4,1,77,6,Matches,ITA-SERIA_A,17-18
91976866,22,Mirko Antonucci,ITA,FW,Roma,18,1999,0.3,20,0,1,4,15,4,20,0,0,,0,,12,49,12,1,0,1,3,0,15,6,Matches,ITA-SERIA_A,17-18
9c8f641a,23,Samuel Armenteros,SWE,FW,Benevento,27,1990,4.8,128,3,11,77,42,9,128,7,6,85.7,1,14.3,66,314,73,2,4,1,19,7,89,17,Matches,ITA-SERIA_A,17-18
089550f5,24,Kwadwo Asamoah,GHA,DF,Juventus,28,1988,17.4,1441,40,383,780,287,7,1441,39,23,59.0,16,41.0,1005,4812,2726,49,41,5,16,19,1067,88,Matches,ITA-SERIA_A,17-18
1522dab2,25,Davide Astori,ITA,DF,Fiorentina,30,1987,25.0,1821,179,804,907,120,22,1821,22,16,72.7,6,27.3,995,5564,4060,30,24,0,12,3,1161,8,Matches,ITA-SERIA_A,17-18
23f9e9d3,26,Felipe Avenatti,URU,FW,Bologna,24,1993,5.2,192,7,18,107,67,13,192,3,1,33.3,2,66.7,107,433,134,2,2,0,21,8,145,30,Matches,ITA-SERIA_A,17-18
422ec08a,27,Khouma Babacar,SEN,FW,Fiorentina,24,1993,5.0,162,7,21,48,96,30,160,7,3,42.9,4,57.1,109,680,356,10,5,4,14,5,122,38,Matches,ITA-SERIA_A,17-18
422ec08a,28,Khouma Babacar,SEN,FW,Sassuolo,24,1993,8.3,213,2,11,88,115,40,212,4,3,75.0,1,25.0,137,717,258,11,9,4,17,18,162,52,Matches,ITA-SERIA_A,17-18
e8c930bb,29,Milan Badelj,CRO,MF,Fiorentina,28,1989,26.1,2099,63,420,1331,367,24,2099,43,29,67.4,14,32.6,1062,4426,2047,24,35,2,31,27,1431,35,Matches,ITA-SERIA_A,17-18
49d399d5,30,Riad Bajić,BIH,"FW,MF",Udinese,23,1994,0.9,27,3,3,9,15,3,27,1,1,100.0,0,0.0,20,58,25,1,0,0,3,1,23,10,Matches,ITA-SERIA_A,17-18
9be4ee80,31,Andrija Balić,CRO,MF,Udinese,19,1997,12.0,675,21,143,407,144,11,675,31,24,77.4,7,22.6,380,2010,826,16,14,3,27,9,402,19,Matches,ITA-SERIA_A,17-18
0821331c,32,Mattia Bani,ITA,DF,Chievo,23,1993,14.6,835,113,483,328,28,10,835,0,0,,0,,407,1631,881,1,4,0,4,0,474,3,Matches,ITA-SERIA_A,17-18
01efac19,33,Antonín Barák,CZE,MF,Udinese,22,1994,30.1,1452,33,234,861,387,53,1452,55,31,56.4,24,43.6,954,5759,2780,67,56,17,38,49,1010,127,Matches,ITA-SERIA_A,17-18
32ebfe1e,34,Andrea Barberis,ITA,MF,Crotone,23,1993,33.7,1500,77,358,826,337,17,1500,24,18,75.0,6,25.0,628,2598,1104,16,25,1,58,37,682,56,Matches,ITA-SERIA_A,17-18
6928979a,35,Nicolò Barella,ITA,MF,Cagliari,20,1997,32.8,2028,55,383,1171,510,35,2025,79,50,63.3,29,36.7,1081,6157,2563,55,58,9,65,42,1248,101,Matches,ITA-SERIA_A,17-18
6a189491,36,Antonio Barreca,ITA,DF,Torino,22,1995,5.2,339,12,108,153,79,4,339,6,2,33.3,4,66.7,145,780,379,7,10,2,5,6,166,18,Matches,ITA-SERIA_A,17-18
43a1bea5,37,Édgar Barreto,PAR,MF,Sampdoria,33,1984,21.8,1312,34,225,783,315,28,1312,14,8,57.1,6,42.9,488,1764,753,13,18,0,25,17,909,73,Matches,ITA-SERIA_A,17-18
