id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,league,season
5bc43860,1,Brenden Aaronson,USA,MF,RB Salzburg,20,2000,8,8,714,7.9,0,2,2,0,0,0,0,0,0.5,0.5,1.0,1.5,13,27,51,0.0,0.25,0.25,0.0,0.25,0.06,0.13,0.19,0.06,0.19,Matches,UCL,21-22
47aaf574,2,Malik Abubakari,GHA,FW,Malmö,21,2000,4,0,119,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,5,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches,UCL,21-22
81442ecb,3,Marcos Acuña,ARG,DF,Sevilla,29,1991,5,5,378,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,13,27,18,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,UCL,21-22
2b09d998,4,Tyler Adams,USA,MF,RB Leipzig,22,1999,5,3,293,3.3,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,4,17,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,UCL,21-22
82e12fe7,5,Junior Adamu,AUT,FW,RB Salzburg,20,2001,8,1,237,2.6,1,0,1,1,0,0,0,0,0.6,0.6,0.4,1.0,3,6,22,0.38,0.0,0.38,0.38,0.38,0.24,0.15,0.39,0.24,0.39,Matches,UCL,21-22
65d62814,6,Antonio Adán,ESP,GK,Sporting CP,34,1987,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,UCL,21-22
6af56975,7,Edmund Addo,GHA,MF,Sheriff Tiraspol,21,2000,6,6,488,5.4,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.3,4,13,1,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches,UCL,21-22
501055d8,8,Karim Adeyemi,GER,FW,RB Salzburg,19,2002,8,8,602,6.7,3,1,4,1,2,3,2,0,4.6,2.2,0.8,3.0,27,7,64,0.45,0.15,0.6,0.15,0.3,0.68,0.12,0.8,0.33,0.44,Matches,UCL,21-22
f9c927de,9,Michel Aebischer,SUI,MF,Young Boys,24,1997,6,6,502,5.6,0,1,1,0,0,0,2,0,0.2,0.2,0.6,0.9,13,28,16,0.0,0.18,0.18,0.0,0.18,0.04,0.11,0.16,0.04,0.16,Matches,UCL,21-22
4d034881,10,Sergio Agüero,ARG,FW,Barcelona,33,1988,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches,UCL,21-22
eab957a3,11,Anel Ahmedhodžić,BIH,DF,Malmö,22,1999,5,5,412,4.6,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,4,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,UCL,21-22
89ac64a6,12,Manuel Akanji,SUI,DF,Dortmund,26,1995,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,18,0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,UCL,21-22
