Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
Group stage,1,Thu,2019-09-19,18:55,Rennes,1.3,1–1,1.1,Celtic,27026,Roazhon Park,José Sánchez,/en/matches/0c2d0b3b/Rennes-Celtic-September-19-2019-Europa-League,,UEL,19-20
Group stage,1,Thu,2019-09-19,18:55,PSV Eindhoven,0.9,3–2,1.7,Sporting CP,30000,Philips Stadion,Ivan Kružliak,/en/matches/2122f715/PSV-Eindhoven-Sporting-CP-September-19-2019-Europa-League,,UEL,19-20
Group stage,1,Thu,2019-09-19,18:55,Basel,2.6,5–0,1.9,Krasnodar,14127,St. Jakob-Park,Mattias Gestranius,/en/matches/27b42593/Basel-Krasnodar-September-19-2019-Europa-League,,UEL,19-20
Group stage,1,Thu,2019-09-19,18:55,FC Copenhagen,1.0,1–0,0.3,Lugano,18240,Telia Parken,Fábio Costa,/en/matches/442e74c0/FC-Copenhagen-Lugano-September-19-2019-Europa-League,,UEL,19-20
Group stage,1,Thu,2019-09-19,18:55,Standard Liège,0.7,2–0,1.2,Vitória,13477,Stade Maurice Dufrasne,Sergey Ivanov,/en/matches/5d1cdb2a/Standard-Liege-Vitoria-Guimaraes-September-19-2019-Europa-League,,UEL,19-20
Group stage,1,Thu,2019-09-19,18:55,Getafe,1.2,1–0,0.3,Trabzonspor,5786,Coliseum Alfonso Pérez,Matej Jug,/en/matches/bc469527/Getafe-Trabzonspor-September-19-2019-Europa-League,,UEL,19-20
Group stage,1,Thu,2019-09-19,18:55,Eint Frankfurt,1.8,0–3,3.2,Arsenal,47000,Deutsche Bank Park,Davide Massa,/en/matches/dc129b7c/Eintracht-Frankfurt-Arsenal-September-19-2019-Europa-League,,UEL,19-20
Group stage,1,Thu,2019-09-19,18:55,LASK,1.9,1–0,0.3,Rosenborg,12179,Linzer Stadion,Donatas Rumšas,/en/matches/f7b3f82f/LASK-Rosenborg-September-19-2019-Europa-League,,UEL,19-20
Group stage,1,Thu,2019-09-19,19:55,CFR Cluj,2.1,2–1,2.0,Lazio,9222,Stadionul Dr. Constantin Rădulescu,Daniel Stefański,/en/matches/7244aeee/CFR-Cluj-Lazio-September-19-2019-Europa-League,,UEL,19-20
Group stage,1,Thu,2019-09-19,19:55,APOEL,2.4,3–4,1.7,F91 Dudelange,9313,Neo GSP,Dumitru Muntean,/en/matches/afcf945b/APOEL-F91-Dudelange-September-19-2019-Europa-League,,UEL,19-20
