Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
Group stage,1,Thu,2022-09-08,18:45,Malmö,0.6,0–2,1.8,Braga,13721,Eleda Stadion,Duje Strukan,/en/matches/00efb0a2/Malmo-Braga-September-8-2022-Europa-League,,UEL,22-23
Group stage,1,Thu,2022-09-08,18:45,Union Berlin,0.5,0–1,0.8,Union SG,21512,Stadion An der Alten Försterei,Serhiy Boiko,/en/matches/221a0613/Union-Berlin-Union-SG-September-8-2022-Europa-League,,UEL,22-23
Group stage,1,Thu,2022-09-08,18:45,Zürich,1.2,1–2,2.3,Arsenal,17070,Kybunpark,Mohammed Al Hakim,/en/matches/e77d99bf/Zurich-Arsenal-September-8-2022-Europa-League,,UEL,22-23
Group stage,1,Thu,2022-09-08,18:45,PSV Eindhoven,1.4,1–1,0.8,Bodø/Glimt,28627,Philips Stadion,Georgi Kabakov,/en/matches/f80ace32/PSV-Eindhoven-BodoGlimt-September-8-2022-Europa-League,,UEL,22-23
Group stage,1,Thu,2022-09-08,19:45,Ludogorets,1.0,2–1,1.3,Roma,10011,Huvepharma Arena,Craig Pawson,/en/matches/3b06e377/Ludogorets-Razgrad-Roma-September-8-2022-Europa-League,,UEL,22-23
Group stage,1,Thu,2022-09-08,19:45,Fenerbahçe,1.4,2–1,0.5,Dynamo Kyiv,41895,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Tamás Bognár,/en/matches/94d6bbe2/Fenerbahce-Dynamo-Kyiv-September-8-2022-Europa-League,,UEL,22-23
Group stage,1,Thu,2022-09-08,19:45,HJK,0.2,0–2,2.7,Betis,10164,Bolt Arena,Roi Reinshreiber,/en/matches/9ac86ddd/HJK-Helsinki-Real-Betis-September-8-2022-Europa-League,,UEL,22-23
Group stage,1,Thu,2022-09-08,19:45,AÉK Lárnaka,1.1,1–2,1.5,Rennes,4103,AEK Arena - George Karapatakis,Giorgi Kruashvili,/en/matches/f4f7bdea/AEK-Larnaka-Rennes-September-8-2022-Europa-League,,UEL,22-23
Group stage,1,Thu,2022-09-08,20:00,Manchester Utd,0.8,0–1,1.1,Real Sociedad,74310,Old Trafford,Marco Di Bello,/en/matches/edf0e464/Manchester-United-Real-Sociedad-September-8-2022-Europa-League,,UEL,22-23
Group stage,1,Thu,2022-09-08,21:00,Sturm Graz,2.4,1–0,0.7,Midtjylland,10521,Merkur Arena,Chang Ssu-yu,/en/matches/053e8256/Sturm-Graz-Midtjylland-September-8-2022-Europa-League,,UEL,22-23
Group stage,1,Thu,2022-09-08,21:00,Freiburg,1.6,2–1,1.0,Qarabağ,31500,Schwarzwald-Stadion,Erik Lambrechts,/en/matches/8de4e976/Freiburg-Qarabag-September-8-2022-Europa-League,,UEL,22-23
Group stage,1,Thu,2022-09-08,21:00,Ferencváros,2.1,3–2,1.5,Trabzonspor,17987,Groupama Arena,Fabio Maresca,/en/matches/96b02d50/Ferencvaros-Trabzonspor-September-8-2022-Europa-League,,UEL,22-23
Group stage,1,Thu,2022-09-08,21:00,Red Star,1.0,0–1,1.5,Monaco,40226,Stadion Rajko Mitić,Harm Osmers,/en/matches/b2e4c2df/Red-Star-Belgrade-Monaco-September-8-2022-Europa-League,,UEL,22-23
Group stage,1,Thu,2022-09-08,21:00,Lazio,2.7,4–2,2.6,Feyenoord,22763,Stadio Olimpico,Ricardo de Burgos,/en/matches/d5eadc89/Lazio-Feyenoord-September-8-2022-Europa-League,,UEL,22-23
Group stage,1,Thu,2022-09-08,21:00,Nantes,1.2,2–1,0.3,Olympiacos,31276,Stade de la Beaujoire - Louis Fonteneau,Harald Lechner,/en/matches/f9f4c3d3/Nantes-Olympiacos-September-8-2022-Europa-League,,UEL,22-23
Group stage,1,Thu,2022-09-08,22:00,AC Omonia,0.5,0–3,1.6,Sheriff Tiraspol,11271,Neo GSP,Rade Obrenović,/en/matches/f2d15d64/AC-Omonia-Sheriff-Tiraspol-September-8-2022-Europa-League,,UEL,22-23
Group stage,2,Thu,2022-09-15,18:45,Real Sociedad,1.1,2–1,0.2,AC Omonia,28587,Reale Arena,Kristo Tohver,/en/matches/00ab5d89/Real-Sociedad-AC-Omonia-September-15-2022-Europa-League,,UEL,22-23
Group stage,2,Thu,2022-09-15,18:45,Midtjylland,3.1,5–1,1.3,Lazio,9052,MCH Arena,Nikola Dabanović,/en/matches/278f3d8d/Midtjylland-Lazio-September-15-2022-Europa-League,,UEL,22-23
Group stage,2,Thu,2022-09-15,18:45,Feyenoord,1.4,6–0,0.3,Sturm Graz,30025,Stadion Feijenoord,Jérôme Brisard,/en/matches/dd75d8b1/Feyenoord-Sturm-Graz-September-15-2022-Europa-League,,UEL,22-23
Group stage,2,Thu,2022-09-15,18:45,Monaco,1.4,0–1,0.3,Ferencváros,3931,Stade Louis II,Espen Andreas Eskås,/en/matches/f151486e/Monaco-Ferencvaros-September-15-2022-Europa-League,,UEL,22-23
Group stage,2,Thu,2022-09-15,19:45,Trabzonspor,1.2,2–1,0.3,Red Star,24884,Şenol Güneş Stadyumu,Sascha Stegemann,/en/matches/2f87030c/Trabzonspor-Red-Star-Belgrade-September-15-2022-Europa-League,,UEL,22-23
Group stage,2,Thu,2022-09-15,19:45,Olympiacos,0.4,0–3,2.1,Freiburg,23104,Stadio Georgios Karaiskáki,Matej Jug,/en/matches/4a1aa454/Olympiacos-Freiburg-September-15-2022-Europa-League,,UEL,22-23
Group stage,2,Thu,2022-09-15,19:45,Sheriff Tiraspol,0.3,0–2,1.6,Manchester Utd,8734,Stadionul Zimbru,Paweł Raczkowski,/en/matches/8812c2ac/Sheriff-Tiraspol-Manchester-United-September-15-2022-Europa-League,,UEL,22-23
Group stage,2,Thu,2022-09-15,20:00,Braga,1.0,1–0,0.7,Union Berlin,17782,Estádio Municipal de Braga,Filip Glova,/en/matches/6eee5981/Braga-Union-Berlin-September-15-2022-Europa-League,,UEL,22-23
Group stage,2,Thu,2022-09-15,20:45,Qarabağ,1.9,3–0,0.6,Nantes,26495,Tofiq Bəhramov adına Respublika stadionu,Enea Jorgji,/en/matches/f1393237/Qarabag-Nantes-September-15-2022-Europa-League,,UEL,22-23
Group stage,2,Thu,2022-09-15,21:00,Union SG,1.1,3–2,0.4,Malmö,4373,King Power at Den Dreef Stadion,Bartosz Frankowski,/en/matches/10dcba1f/Union-SG-Malmo-September-15-2022-Europa-League,,UEL,22-23
Group stage,2,Thu,2022-09-15,21:00,Rennes,1.9,2–2,1.4,Fenerbahçe,20993,Roazhon Park,Aliaksei Kulbakou,/en/matches/60e4529b/Rennes-Fenerbahce-September-15-2022-Europa-League,,UEL,22-23
Group stage,2,Thu,2022-09-15,21:00,Dynamo Kyiv,0.6,0–1,0.4,AÉK Lárnaka,3362,Stadion Cracovii,Jakob Kehlet,/en/matches/6734d21e/Dynamo-Kyiv-AEK-Larnaka-September-15-2022-Europa-League,,UEL,22-23
Group stage,2,Thu,2022-09-15,21:00,Roma,2.8,3–0,0.4,HJK,60193,Stadio Olimpico,Radu Petrescu,/en/matches/7bbcfc08/Roma-HJK-Helsinki-September-15-2022-Europa-League,,UEL,22-23
Group stage,2,Thu,2022-09-15,21:00,Bodø/Glimt,1.8,2–1,0.9,Zürich,8000,Aspmyra Stadion,Stéphanie Frappart,/en/matches/9813d6de/BodoGlimt-Zurich-September-15-2022-Europa-League,,UEL,22-23
Group stage,2,Thu,2022-09-15,21:00,Betis,1.0,3–2,0.8,Ludogorets,43113,Estadio Benito Villamarín,Andris Treimanis,/en/matches/fe974f88/Real-Betis-Ludogorets-Razgrad-September-15-2022-Europa-League,,UEL,22-23
Group stage,3,Thu,2022-10-06,18:45,Zürich,1.3,1–5,1.4,PSV Eindhoven,10626,Stadion Letzigrund,William Collum,/en/matches/102d138c/Zurich-PSV-Eindhoven-October-6-2022-Europa-League,,UEL,22-23
Group stage,3,Thu,2022-10-06,18:45,Malmö,0.7,0–1,1.4,Union Berlin,16057,Eleda Stadion,Halil Umut Meler,/en/matches/941f1dd4/Malmo-Union-Berlin-October-6-2022-Europa-League,,UEL,22-23
Group stage,3,Thu,2022-10-06,18:45,Monaco,3.3,3–1,0.4,Trabzonspor,5050,Stade Louis II,Giorgi Kruashvili,/en/matches/d122c3da/Monaco-Trabzonspor-October-6-2022-Europa-League,,UEL,22-23
Group stage,3,Thu,2022-10-06,18:45,Red Star,2.0,4–1,0.6,Ferencváros,26244,Stadion Rajko Mitić,Lawrence Visser,/en/matches/e49f99aa/Red-Star-Belgrade-Ferencvaros-October-6-2022-Europa-League,,UEL,22-23
Group stage,3,Thu,2022-10-06,18:45,Sturm Graz,0.8,0–0,0.6,Lazio,14171,Merkur Arena,Benoît Bastien,/en/matches/e6bf4e1d/Sturm-Graz-Lazio-October-6-2022-Europa-League,,UEL,22-23
Group stage,3,Thu,2022-10-06,19:45,HJK,1.7,1–1,1.6,Ludogorets,9751,Bolt Arena,Yevhen Aranovskyi,/en/matches/72182e54/HJK-Helsinki-Ludogorets-Razgrad-October-6-2022-Europa-League,,UEL,22-23
Group stage,3,Thu,2022-10-06,19:45,AC Omonia,1.2,2–3,3.1,Manchester Utd,20011,Neo GSP,João Pinheiro,/en/matches/7f6eec90/AC-Omonia-Manchester-United-October-6-2022-Europa-League,,UEL,22-23
Group stage,3,Thu,2022-10-06,19:45,Sheriff Tiraspol,0.4,0–2,1.5,Real Sociedad,5427,Stadionul Zimbru,Harald Lechner,/en/matches/90f57a4a/Sheriff-Tiraspol-Real-Sociedad-October-6-2022-Europa-League,,UEL,22-23
Group stage,3,Thu,2022-10-06,20:00,Arsenal,3.4,3–0,0.8,Bodø/Glimt,59724,Arsenal Stadium,Harm Osmers,/en/matches/91a1d3df/Arsenal-BodoGlimt-October-6-2022-Europa-League,,UEL,22-23
Group stage,3,Thu,2022-10-06,20:00,Braga,0.8,1–2,1.9,Union SG,14044,Estádio Municipal de Braga,Stéphanie Frappart,/en/matches/d3b15c1c/Braga-Union-SG-October-6-2022-Europa-League,,UEL,22-23
Group stage,3,Thu,2022-10-06,21:00,Roma,1.8,1–2,0.6,Betis,62294,Stadio Olimpico,Matej Jug,/en/matches/2e126502/Roma-Real-Betis-October-6-2022-Europa-League,,UEL,22-23
Group stage,3,Thu,2022-10-06,21:00,Freiburg,1.4,2–0,1.5,Nantes,33200,Schwarzwald-Stadion,Glenn Nyberg,/en/matches/514639e4/Freiburg-Nantes-October-6-2022-Europa-League,,UEL,22-23
Group stage,3,Thu,2022-10-06,21:00,Midtjylland,1.2,2–2,1.2,Feyenoord,9044,MCH Arena,Mohammed Al Hakim,/en/matches/557fe576/Midtjylland-Feyenoord-October-6-2022-Europa-League,,UEL,22-23
Group stage,3,Thu,2022-10-06,21:00,Rennes,1.6,2–1,0.9,Dynamo Kyiv,24761,Roazhon Park,José Sánchez,/en/matches/fc809c25/Rennes-Dynamo-Kyiv-October-6-2022-Europa-League,,UEL,22-23
Group stage,3,Thu,2022-10-06,22:00,Olympiacos,1.2,0–3,2.3,Qarabağ,21677,Stadio Georgios Karaiskáki,Irfan Peljto,/en/matches/b6d398c4/Olympiacos-Qarabag-October-6-2022-Europa-League,,UEL,22-23
Group stage,3,Thu,2022-10-06,22:00,Fenerbahçe,2.0,2–0,0.5,AÉK Lárnaka,38860,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Chris Kavanagh,/en/matches/e99d3a54/Fenerbahce-AEK-Larnaka-October-6-2022-Europa-League,,UEL,22-23
Group stage,4,Thu,2022-10-13,18:45,Union SG,1.0,3–3,1.8,Braga,7851,King Power at Den Dreef Stadion,Chang Ssu-yu,/en/matches/043bb0c9/Union-SG-Braga-October-13-2022-Europa-League,,UEL,22-23
