Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
Serie A,1,Sat,2022-08-13,18:30,Sampdoria,1.0,0–2,2.2,Atalanta,20047,Stadio Comunale Luigi Ferraris,Federico Dionisi,/en/matches/185d9e37/Sampdoria-Atalanta-August-13-2022-Serie-A,,ITA-SERIA_A,22-23
Serie A,1,Sat,2022-08-13,18:30,Milan,2.3,4–2,0.5,Udinese,70197,Stadio Giuseppe Meazza,Livio Marinelli,/en/matches/bb758ef8/Milan-Udinese-August-13-2022-Serie-A,,ITA-SERIA_A,22-23
Serie A,1,Sat,2022-08-13,20:45,Monza,1.4,1–2,2.1,Torino,10739,U-Power Stadium,Maurizio Mariani,/en/matches/5f0a8b10/Monza-Torino-August-13-2022-Serie-A,,ITA-SERIA_A,22-23
Serie A,1,Sat,2022-08-13,20:45,Lecce,0.7,1–2,2.1,Inter,25353,Stadio Comunale Via Del Mare,Alessandro Prontera,/en/matches/6b610c5c/Lecce-Internazionale-August-13-2022-Serie-A,,ITA-SERIA_A,22-23
Serie A,1,Sun,2022-08-14,18:30,Fiorentina,2.0,3–2,1.3,Cremonese,34461,Stadio Artemio Franchi,Juan Sacchi,/en/matches/3ed8bdff/Fiorentina-Cremonese-August-14-2022-Serie-A,,ITA-SERIA_A,22-23
Serie A,1,Sun,2022-08-14,18:30,Lazio,0.7,2–1,1.5,Bologna,45000,Stadio Olimpico,Luca Massimi,/en/matches/c5003e68/Lazio-Bologna-August-14-2022-Serie-A,,ITA-SERIA_A,22-23
Serie A,1,Sun,2022-08-14,20:45,Spezia,0.5,1–0,0.7,Empoli,8360,Stadio Alberto Picco,Daniele Chiffi,/en/matches/26520b87/Spezia-Empoli-August-14-2022-Serie-A,,ITA-SERIA_A,22-23
Serie A,1,Sun,2022-08-14,20:45,Salernitana,0.6,0–1,2.4,Roma,26006,Stadio Arechi,Simone Sozza,/en/matches/ff9838f3/Salernitana-Roma-August-14-2022-Serie-A,,ITA-SERIA_A,22-23
Serie A,1,Mon,2022-08-15,18:30,Hellas Verona,1.1,2–5,2.4,Napoli,16967,Stadio Marc'Antonio Bentegodi,Michael Fabbri,/en/matches/3e0bda8d/Hellas-Verona-Napoli-August-15-2022-Serie-A,,ITA-SERIA_A,22-23
Serie A,1,Mon,2022-08-15,20:45,Juventus,2.0,3–0,0.9,Sassuolo,38725,Allianz Stadium,Antonio Rapuano,/en/matches/59f4c84f/Juventus-Sassuolo-August-15-2022-Serie-A,,ITA-SERIA_A,22-23
Serie A,2,Sat,2022-08-20,18:30,Torino,0.7,0–0,0.8,Lazio,16530,Stadio Olimpico di Torino,Marco Piccinini,/en/matches/a1ed12f1/Torino-Lazio-August-20-2022-Serie-A,,ITA-SERIA_A,22-23
Serie A,2,Sat,2022-08-20,18:30,Udinese,1.1,0–0,1.5,Salernitana,17054,Dacia Arena,Gianluca Aureliano,/en/matches/c0a89a83/Udinese-Salernitana-August-20-2022-Serie-A,,ITA-SERIA_A,22-23
