id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,league,season
4f9f721c,35,Valdemar Andreasen,DEN,FW,Midtjylland,17,2005,1.3,32,29,3,0,0,0,4,2,1,0,0,0,18,0,0,Matches,UEL,22-23
40dc75f0,36,Henry Andreou,CYP,MF,AÉK Lárnaka,21,2001,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,UEL,22-23
e0b113a7,37,Robert Andrich,GER,MF,Leverkusen,27,1994,6.3,346,339,5,4,0,0,2,1,0,0,0,0,293,2,9,Matches,UEL,22-23
4e3f5992,38,Oleksandr Andriyevskyi,UKR,MF,Dynamo Kyiv,28,1994,1.0,60,58,1,0,0,0,3,0,1,1,0,0,47,1,0,Matches,UEL,22-23
2a70dcc9,39,Thanasis Androutsos,GRE,DF,Olympiacos,25,1997,1.0,59,47,12,1,0,0,3,11,0,0,0,0,52,0,0,Matches,UEL,22-23
4a7078f9,40,Ángel,ESP,DF,AÉK Lárnaka,29,1993,4.9,232,183,47,8,0,0,7,39,0,0,0,0,192,2,4,Matches,UEL,22-23
50cddd19,41,Karim Ansarifard,IRN,FW,AC Omonia,32,1990,2.2,46,41,4,0,0,0,0,0,0,0,0,0,33,1,0,Matches,UEL,22-23
108fe016,42,Marcos Antônio,BRA,MF,Lazio,22,2000,1.6,121,121,0,0,0,0,0,0,0,0,0,0,114,0,0,Matches,UEL,22-23
99127249,43,Antony,BRA,FW,Manchester Utd,22,2000,7.0,272,259,10,5,1,2,19,4,1,0,1,0,213,3,7,Matches,UEL,22-23
feb5d3ab,44,Dennis Appiah,FRA,"DF,FW",Nantes,30,1992,3.2,159,119,40,3,0,0,8,37,0,0,0,0,116,0,5,Matches,UEL,22-23
c63f6e46,45,Youssef El-Arabi,MAR,"FW,MF",Olympiacos,35,1987,1.8,67,65,2,0,0,0,0,0,0,0,0,0,46,0,2,Matches,UEL,22-23
7e6b3664,46,Paulus Arajuuri,FIN,DF,HJK,34,1988,0.5,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0,Matches,UEL,22-23
f28876e5,47,Aritz Arambarri,ESP,DF,Real Sociedad,24,1998,0.7,38,32,6,0,0,0,0,6,0,0,0,0,32,0,1,Matches,UEL,22-23
