Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
Group stage,1,Thu,2017-09-14,19:00,Austria Wien,0.5,1–5,1.6,Milan,31409,Ernst-Happel-Stadion,Serdar Gözübüyük,/en/matches/03c2c6fe/Austria-Wien-Milan-September-14-2017-Europa-League,,UEL,17-18
Group stage,1,Thu,2017-09-14,19:00,Young Boys,2.2,1–1,0.6,Partizan,13004,Stade de Suisse Wankdorf Bern,István Kovács,/en/matches/082d826c/Young-Boys-Partizan-September-14-2017-Europa-League,,UEL,17-18
Group stage,1,Thu,2017-09-14,19:00,Villarreal,1.5,3–1,1.0,FC Astana,18144,Estadio de la Cerámica,Srđan Jovanović,/en/matches/0f87aaef/Villarreal-FC-Astana-September-14-2017-Europa-League,,UEL,17-18
Group stage,1,Thu,2017-09-14,19:00,Fastav Zlín,0.6,0–0,0.9,Sheriff Tiraspol,4499,Andrův stadion,Andrew Dallas,/en/matches/133da4ef/Fastav-Zlin-Sheriff-Tiraspol-September-14-2017-Europa-League,,UEL,17-18
Group stage,1,Thu,2017-09-14,19:00,Hoffenheim,2.0,1–2,1.3,Braga,15714,Wirsol Rhein-Neckar-Arena,Bobby Madden,/en/matches/175ffd65/Hoffenheim-Braga-September-14-2017-Europa-League,,UEL,17-18
Group stage,1,Thu,2017-09-14,19:00,Atalanta,2.4,3–0,1.1,Everton,14890,Stadio Città del Tricolore,Vladislav Bezborodov,/en/matches/3e434452/Atalanta-Everton-September-14-2017-Europa-League,,UEL,17-18
Group stage,1,Thu,2017-09-14,19:00,Slavia Prague,1.4,1–0,0.5,Maccabi Tel Aviv,13035,Eden Aréna,Robert Schörgenhofer,/en/matches/4836b5fe/Slavia-Prague-Maccabi-Tel-Aviv-September-14-2017-Europa-League,,UEL,17-18
Group stage,1,Thu,2017-09-14,19:00,Rijeka,0.8,1–2,0.8,AEK Athens,5932,Nogometno igralište Rujevica,John Beaton,/en/matches/b368942f/Rijeka-AEK-Athens-September-14-2017-Europa-League,,UEL,17-18
Group stage,1,Thu,2017-09-14,19:00,FC Copenhagen,0.6,0–0,0.7,Loko Moscow,17285,Telia Parken,Hüseyin Göçek,/en/matches/d579c154/FC-Copenhagen-Lokomotiv-Moscow-September-14-2017-Europa-League,,UEL,17-18
Group stage,1,Thu,2017-09-14,20:00,Apollon Limassol,0.8,1–1,2.0,Lyon,5134,Neo GSP,Miroslav Zelinka,/en/matches/01a748dc/Apollon-Limassol-Lyon-September-14-2017-Europa-League,,UEL,17-18
