Season,Competition Name,# Squads,Champion,Top Scorer,url,Format
2024-2025,ITA-SERIA_A,20,,Mateo Retegui - 3,/en/comps/11/Serie-A-Stats,round-robin
2023-2024,ITA-SERIA_A,20,Internazionale - 94,Lautaro Martínez - 24,/en/comps/11/2023-2024/2023-2024-Serie-A-Stats,round-robin
2022-2023,ITA-SERIA_A,20,Napoli - 90,Victor Osimhen - 26,/en/comps/11/2022-2023/2022-2023-Serie-A-Stats,round-robin
2021-2022,ITA-SERIA_A,20,Milan - 86,Ciro Immobile - 27,/en/comps/11/2021-2022/2021-2022-Serie-A-Stats,round-robin
2020-2021,ITA-SERIA_A,20,Internazionale - 91,Cristiano Ronaldo - 29,/en/comps/11/2020-2021/2020-2021-Serie-A-Stats,round-robin
2019-2020,ITA-SERIA_A,20,Juventus - 83,Ciro Immobile - 36,/en/comps/11/2019-2020/2019-2020-Serie-A-Stats,round-robin
2018-2019,ITA-SERIA_A,20,Juventus - 90,Fabio Quagliarella - 26,/en/comps/11/2018-2019/2018-2019-Serie-A-Stats,round-robin
2017-2018,ITA-SERIA_A,20,Juventus - 95,"Ciro Immobile, Mauro Icardi - 29",/en/comps/11/2017-2018/2017-2018-Serie-A-Stats,round-robin
2016-2017,ITA-SERIA_A,20,Juventus - 91,Edin Džeko - 29,/en/comps/11/2016-2017/2016-2017-Serie-A-Stats,round-robin
2015-2016,ITA-SERIA_A,20,Juventus - 91,Gonzalo Higuaín - 36,/en/comps/11/2015-2016/2015-2016-Serie-A-Stats,round-robin
2014-2015,ITA-SERIA_A,20,Juventus - 87,"Luca Toni, Mauro Icardi - 22",/en/comps/11/2014-2015/2014-2015-Serie-A-Stats,round-robin
2013-2014,ITA-SERIA_A,20,Juventus - 102,Ciro Immobile - 22,/en/comps/11/2013-2014/2013-2014-Serie-A-Stats,round-robin
2012-2013,ITA-SERIA_A,20,Juventus - 87,Edinson Cavani - 29,/en/comps/11/2012-2013/2012-2013-Serie-A-Stats,round-robin
2011-2012,ITA-SERIA_A,20,Juventus - 84,Zlatan Ibrahimović - 28,/en/comps/11/2011-2012/2011-2012-Serie-A-Stats,round-robin
2010-2011,ITA-SERIA_A,20,Milan - 82,Antonio Di Natale - 28,/en/comps/11/2010-2011/2010-2011-Serie-A-Stats,round-robin
2009-2010,ITA-SERIA_A,20,Internazionale - 82,Antonio Di Natale - 29,/en/comps/11/2009-2010/2009-2010-Serie-A-Stats,round-robin
2008-2009,ITA-SERIA_A,20,Internazionale - 84,Zlatan Ibrahimović - 25,/en/comps/11/2008-2009/2008-2009-Serie-A-Stats,round-robin
2007-2008,ITA-SERIA_A,20,Internazionale - 85,Alessandro Del Piero - 21,/en/comps/11/2007-2008/2007-2008-Serie-A-Stats,round-robin
2006-2007,ITA-SERIA_A,20,Internazionale - 97,Francesco Totti - 26,/en/comps/11/2006-2007/2006-2007-Serie-A-Stats,round-robin
2005-2006,ITA-SERIA_A,20,Internazionale - 76,Luca Toni - 31,/en/comps/11/2005-2006/2005-2006-Serie-A-Stats,round-robin
2004-2005,ITA-SERIA_A,20,Juventus - 86,Cristiano Lucarelli - 24,/en/comps/11/2004-2005/2004-2005-Serie-A-Stats,round-robin
2003-2004,ITA-SERIA_A,18,Milan - 82,Andriy Shevchenko - 24,/en/comps/11/2003-2004/2003-2004-Serie-A-Stats,round-robin
2002-2003,ITA-SERIA_A,18,Juventus - 72,Christian Vieri - 24,/en/comps/11/2002-2003/2002-2003-Serie-A-Stats,round-robin
