Season,Competition Name,# Squads,Champion,Runner-Up,Final,Top Scorer,url,Format
2024-2025,UCL,52,,,,,/en/comps/8/Champions-League-Stats,elimination
2023-2024,UCL,78,Real Madrid,Dortmund,Match Report,"Harry Kane, Kylian Mbappé - 8",/en/comps/8/2023-2024/2023-2024-Champions-League-Stats,elimination
2022-2023,UCL,78,Manchester City,Internazionale,Match Report,Erling Haaland - 12,/en/comps/8/2022-2023/2022-2023-Champions-League-Stats,elimination
2021-2022,UCL,80,Real Madrid,Liverpool,Match Report,Karim Benzema - 15,/en/comps/8/2021-2022/2021-2022-Champions-League-Stats,elimination
2020-2021,UCL,79,Chelsea,Manchester City,Match Report,Erling Haaland - 10,/en/comps/8/2020-2021/2020-2021-Champions-League-Stats,elimination
2019-2020,UCL,79,Bayern Munich,Paris Saint-Germain,Match Report,Robert Lewandowski - 15,/en/comps/8/2019-2020/2019-2020-Champions-League-Stats,elimination
2018-2019,UCL,79,Liverpool,Tottenham Hotspur,Match Report,Lionel Messi - 12,/en/comps/8/2018-2019/2018-2019-Champions-League-Stats,elimination
2017-2018,UCL,79,Real Madrid,Liverpool,Match Report,Cristiano Ronaldo - 15,/en/comps/8/2017-2018/2017-2018-Champions-League-Stats,elimination
2016-2017,UCL,78,Real Madrid,Juventus,Match Report,Cristiano Ronaldo - 12,/en/comps/8/2016-2017/2016-2017-Champions-League-Stats,elimination
2015-2016,UCL,78,Real Madrid,Atlético Madrid,Match Report,Cristiano Ronaldo - 16,/en/comps/8/2015-2016/2015-2016-Champions-League-Stats,elimination
2014-2015,UCL,77,Barcelona,Juventus,Match Report,"Lionel Messi, Neymar... - 10",/en/comps/8/2014-2015/2014-2015-Champions-League-Stats,elimination
2013-2014,UCL,76,Real Madrid,Atlético Madrid,Match Report,Cristiano Ronaldo - 17,/en/comps/8/2013-2014/2013-2014-Champions-League-Stats,elimination
2012-2013,UCL,76,Bayern Munich,Dortmund,Match Report,Cristiano Ronaldo - 12,/en/comps/8/2012-2013/2012-2013-Champions-League-Stats,elimination
2011-2012,UCL,75,Chelsea,Bayern Munich,Match Report,Lionel Messi - 14,/en/comps/8/2011-2012/2011-2012-Champions-League-Stats,elimination
2010-2011,UCL,76,Barcelona,Manchester United,Match Report,Lionel Messi - 12,/en/comps/8/2010-2011/2010-2011-Champions-League-Stats,elimination
2009-2010,UCL,76,Internazionale,Bayern Munich,Match Report,Lionel Messi - 8,/en/comps/8/2009-2010/2009-2010-Champions-League-Stats,elimination
2008-2009,UCL,76,Barcelona,Manchester United,Match Report,Lionel Messi - 9,/en/comps/8/2008-2009/2008-2009-Champions-League-Stats,elimination
2007-2008,UCL,76,Manchester United,Chelsea,Match Report,Cristiano Ronaldo - 8,/en/comps/8/2007-2008/2007-2008-Champions-League-Stats,elimination
2006-2007,UCL,73,Milan,Liverpool,Match Report,Kaká - 10,/en/comps/8/2006-2007/2006-2007-Champions-League-Stats,elimination
2005-2006,UCL,74,Barcelona,Arsenal,Match Report,Andriy Shevchenko - 9,/en/comps/8/2005-2006/2005-2006-Champions-League-Stats,elimination
2004-2005,UCL,72,Liverpool,Milan,Match Report,Ruud van Nistelrooy - 8,/en/comps/8/2004-2005/2004-2005-Champions-League-Stats,elimination
2003-2004,UCL,72,Porto,Monaco,Match Report,Fernando Morientes - 9,/en/comps/8/2003-2004/2003-2004-Champions-League-Stats,elimination
2002-2003,UCL,72,Milan,Juventus,Match Report,Ruud van Nistelrooy - 12,/en/comps/8/2002-2003/2002-2003-Champions-League-Stats,elimination
2001-2002,UCL,72,Real Madrid,Bayer Leverkusen,Match Report,Ruud van Nistelrooy - 10,/en/comps/8/2001-2002/2001-2002-Champions-League-Stats,elimination
2000-2001,UCL,72,Bayern Munich,Valencia,Match Report,Raúl - 7,/en/comps/8/2000-2001/2000-2001-Champions-League-Stats,elimination
1999-2000,UCL,71,Real Madrid,Valencia,Match Report,"Rivaldo, Raúl... - 10",/en/comps/8/1999-2000/1999-2000-Champions-League-Stats,elimination
1998-1999,UCL,56,Manchester United,Bayern Munich,Match Report,"Dwight Yorke, Andriy Shevchenko - 8",/en/comps/8/1998-1999/1998-1999-Champions-League-Stats,elimination
1997-1998,UCL,55,Real Madrid,Juventus,Match Report,Alessandro Del Piero - 10,/en/comps/8/1997-1998/1997-1998-Champions-League-Stats,elimination
1996-1997,UCL,24,Dortmund,Juventus,Match Report,Milinko Pantić - 5,/en/comps/8/1996-1997/1996-1997-Champions-League-Stats,elimination
1995-1996,UCL,24,Juventus,Ajax,Match Report,Jari Litmanen - 9,/en/comps/8/1995-1996/1995-1996-Champions-League-Stats,elimination
1994-1995,UCL,24,Ajax,Milan,Match Report,George Weah - 7,/en/comps/8/1994-1995/1994-1995-Champions-League-Stats,elimination
1993-1994,UCL,42,Milan,Barcelona,Match Report,"Ronald Koeman, Wynton Rufer - 8",/en/comps/8/1993-1994/1993-1994-Champions-League-Stats,elimination
1992-1993,UCL,36,Marseille,Milan,Match Report,Romário - 7,/en/comps/8/1992-1993/1992-1993-Champions-League-Stats,elimination
1991-1992,UCL,32,Barcelona,Sampdoria,Match Report,"Jean-Pierre Papin, Sergei Yuran - 7",/en/comps/8/1991-1992/1991-1992-Champions-League-Stats,elimination
1990-1991,UCL,31,Red Star,Marseille,Match Report,"Peter Pacult, Jean-Pierre Papin - 6",/en/comps/8/1990-1991/1990-1991-Champions-League-Stats,elimination
