Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
Group stage,1,Thu,2018-09-20,18:55,Rapid Wien,0.9,2–0,0.8,Spartak Moscow,21400,Allianz Stadion,Alain Bieri,/en/matches/0fda6603/Rapid-Wien-Spartak-Moscow-September-20-2018-Europa-League,,UEL,18-19
Group stage,1,Thu,2018-09-20,18:55,Vidi,0.5,0–2,1.4,BATE Borisov,14726,Groupama Arena,Morten Krogh,/en/matches/1371550b/Vidi-BATE-Borisov-September-20-2018-Europa-League,,UEL,18-19
Group stage,1,Thu,2018-09-20,18:55,Marseille,2.5,1–2,0.6,Eint Frankfurt,,Orange Vélodrome,Matej Jug,/en/matches/6af5bed8/Marseille-Eintracht-Frankfurt-September-20-2018-Europa-League,,UEL,18-19
Group stage,1,Thu,2018-09-20,18:55,Lazio,3.2,2–1,0.8,Apollon,11898,Stadio Olimpico,Chang Ssu-yu,/en/matches/846aeff0/Lazio-Apollon-September-20-2018-Europa-League,,UEL,18-19
Group stage,1,Thu,2018-09-20,18:55,Villarreal,0.9,2–2,1.5,Rangers,15982,Estadio de la Cerámica,István Kovács,/en/matches/8d21d3bc/Villarreal-Rangers-September-20-2018-Europa-League,,UEL,18-19
Group stage,1,Thu,2018-09-20,18:55,Sevilla,3.4,5–1,0.7,Standard Liège,30003,Estadio Ramón Sánchez Pizjuán,Gediminas Mažeika,/en/matches/9701abfe/Sevilla-Standard-Liege-September-20-2018-Europa-League,,UEL,18-19
Group stage,1,Thu,2018-09-20,18:55,Genk,1.8,2–0,0.1,Malmö,11590,Luminus Arena,Mikhail Vilkov,/en/matches/e19ed194/Genk-Malmo-September-20-2018-Europa-League,,UEL,18-19
Group stage,1,Thu,2018-09-20,18:55,Rennes,1.5,2–1,0.4,Jablonec,20628,Roazhon Park,Ola Nilsen,/en/matches/eb7ae14b/Rennes-Jablonec-September-20-2018-Europa-League,,UEL,18-19
Group stage,1,Thu,2018-09-20,19:55,Dynamo Kyiv,1.5,2–2,1.3,Astana FK,21783,NSK Olimpijs'kyj,Ali Palabıyık,/en/matches/78f96259/Dynamo-Kyiv-Astana-FK-September-20-2018-Europa-League,,UEL,18-19
Group stage,1,Thu,2018-09-20,19:55,Beşiktaş,1.6,3–1,2.0,Sarpsborg 08,24955,Vodafone Arena,Ádám Farkas,/en/matches/af3cfe4a/Besiktas-Sarpsborg-08-September-20-2018-Europa-League,,UEL,18-19
